d10,length_value,length_type,speed_value,speed_type,lanes_value,lanes_type
430602327,14.627023202875428,float,,NoneType,5,str
1057601057,61.3958860866223,float,,NoneType,4,str
672141058,67.3504911489851,float,50,str,1,str
951273879,3.323037807012075,float,,NoneType,,NoneType
609935111,8.835842964238912,float,50,str,3,str
609935113,6.791904079727825,float,,NoneType,3,str
255117119,51.968470027926124,float,,NoneType,2,str
255117119,73.90119727429621,float,,NoneType,2,str
58789674,204.01661463521145,float,30,str,2,str
415759689,10.068302911068331,float,30,str,1,str
405939394,99.46845397768394,float,30,str,3,str
280998224,9.73831729784787,float,50,str,6,str
503016684,9.947997224559272,float,30,str,1,str
950163404,10.090864778547862,float,50,str,6,str
16376297,2.2017396743279543,float,,NoneType,1,str
16376297,7.817851445114386,float,,NoneType,1,str
53562668,36.38295078381608,float,50,str,6,str
1207733482,50.86802708186125,float,50,str,6,str
256185602,79.59164909328793,float,50,str,2,str
1341771838,5.243041661838449,float,,NoneType,4,str
53562669,15.319122721018976,float,50,str,2,str
280990338,11.880954495354338,float,,NoneType,5,str
1341771839,6.381605918643836,float,,NoneType,4,str
80062578,3.7124275695889453,float,30,str,,NoneType
1315532647,8.8130545763041,float,30,str,,NoneType
1315532647,5.211114247069826,float,30,str,,NoneType
603512959,19.068662943193164,float,,NoneType,4,str
603512964,1.4663758844333856,float,,NoneType,3,str
673724111,11.476067830560448,float,50,str,3,str
53562669,62.06517231058339,float,50,str,2,str
280990332,1.9347869899387597,float,50,str,3,str
544150315,6.2333743088775355,float,,NoneType,3,str
280990332,9.821059121294503,float,50,str,3,str
1234027596,3.788794432835987,float,,NoneType,3,str
260282104,3.190475763448048,float,,NoneType,3,str
671934347,7.389822506479257,float,,NoneType,3,str
672127631,6.992629156131232,float,50,str,2,str
1234144805,3.335183163673887,float,,NoneType,3,str
404864481,4.18042054024668,float,40,str,,NoneType
672093824,9.260830789264912,float,40,str,3,str
22893214,5.254536960416309,float,30,str,,NoneType
953072136,4.292811748161364,float,40,str,,NoneType
953073758,105.62057812435543,float,40,str,,NoneType
